Product_Id,Product_Name,Category,Discounted_Price,Actual_Price,Discount_Percentage,Rating,Rating_Count,About_Product,User_Id,User_Name,Review_Id,Review_Title,Review_Content,Img_Link,Product_Link,Transaction_ID,Main_Category
B00B3VFJY2,"HUL Pureit Germkill kit for Advanced 23 L water purifier - 3000 L Capacity, Sand, Multicolour",Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,980.0,980.0,0.0,4.2,"4,740","Compatible only for Pureit Advanced 23L water purifier|Germkill Kit (GKK) Capacity - 3000 Liters|The Germkill Kit (GKK) contains 3 Parts - Microfiber Filter, Germkill Processorᵀᴹ and Carbon Polisherᵀᴹ|Microfiber Filter - Removes visible impurities like dust, dirt, sand, etc.|Germkill Processorᵀᴹ - Uses programmed Germkill technology to remove invisible harmful viruses & bacteria|Carbon Polisherᵀᴹ - Removes chlorine, odor, along with other impurities to purify water and improve its taste|For GKK replacement instructions, refer to the user manual pdf (in Product guides & documents section)","AECK2OJ3MXCQOGMEUQOFE6NDAU5Q,AFRKDBJPRCMNG6TYZHA3WNYGCQHQ,AFMUGZSK3VORG5NDNEGPIP43M64Q,AEPIQC3KWAW7KJEW5ITDNPQRLWOA,AE343V2CIFDUDQORRTJSRI6PXNYQ,AHAPSYB734TV27VGJABANCXUCJXQ,AHZGL7KVNWGGBE7Y6SHNILECWSFA,AERJ6EV2HUDZQHWL2HOFZJYQ4GEA","Amazon Customer,James k Joseph,Shri,Devraj Nikumbh,rupali lakhera,Palash Seth,Venkatram Rao K,Dipika S.","R2ED9VEPT3A38F,R2TW58C4LDA0HB,R2FV708D23KCXU,R1ASXINH1OT6DR,R3E1ULB5JMK8M8,R5HEJW9MXSBSN,R1JLHUKHV02599,R3QWATH0CEY9UB","It's very nice,Got the correct one, asked,Good product,Very good item,Awesome,Good,ok,Delivered on time","Ok,For replacing battery of Purit 23 advanced water purifier. Got what i required.,Good,Very good,I like it,Been using it since 5 years,ok,Nice product",https://m.media-amazon.com/images/I/51G5KRUKOgL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/HUL-Pureit-Germkill-Advanced-Purifier/dp/B00B3VFJY2/ref=sr_1_287?qid=1672923606&s=kitchen&sr=1-287,B00B3VFJY2_8589934592,Home&Kitchen
B08W9BK4MD,"Tom & Jerry Folding Laundry Basket for Clothes with Lid & Handle, Toys Organiser, 75 Litre, Green",Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,351.0,899.0,61.0,3.9,296,"MULTIFUNCTIONAL LAUNDRY BAG - Useful for homes, apartments, bathroom, student's dormitory and hostels. Also help you to store other stuff, such as umbrellas, toys, shoes, etc, Make your room look clean, tidy and save space|Dimension: length (35) cm x width (38) cm x height (55) cm|HIGH QUALITY - Made from non-woven fabric with strong durable stitching, which is environmentally friendly, durable, wear and tear-resistant fabric, anti-wrinkle-free, lightweight|FOLDABLE STORAGE CONTAINERS - This box is foldable for space-saving, easy to set up and convenient to carry. Can be folded when not in use|Package Contents: 1 Tom & Jerry Laundry Basket|REMOVABLE LID - Laundry Box comes with the matching Lid to prevent dust from settling on the stored contents while bringing a decorative look","AEIDEFLG7JQYBGDO37SBXCH7B5KQ,AGWY7U4YUFFWBPLEIZ4YZWS3R6WA,AH3HXCEWLMYQAPX5RIUV3R4ULFHA,AFWDYM3RGZH3ZTQI6VVBUGPWMBWQ,AFOFO2Y527YK7Z6NVB2U2VRO5XCQ,AFR3M7QXD7ISIXY5MTYRP375RPKQ,AGTGOOPKKZKNNZTJPIXAFO7MGBUQ,AF4ZKGB6HT37NGYK4C6VZX44NTOA","asha chatri,Amazon Customer,Mahlaqa,Shashi Gupta,Pavit,Satish Kumar,Lalit Patil,indhu","R2OA6WLUYP9I0P,R2HMQ0VOKWQ62Y,R2HSP5VBSX6NB1,R5R3XSEYG901F,R127MA65JNSOWI,RYSCU07717MB5,REWASLCJXLZ0P,R3LMQYP4S3TZ1D","Good,Product is good bt smell like hell.,Amazing,Good Bag ☺️,Good quality and quick delivery,Worth money,Good and big bag,Good product","Very good product at this price exactly as shown...,Product is good.large storage capacity.the only drawback is that when is opened  it smell like hell.i hv to to sat  them outdoor from my house for 1 day.then they r at least tolerable.otherwise it's very good,https://m.media-amazon.com/images/I/61FXsvTLNnL._SY88.jpg,Better Size & Nice Design,Good quality better than images.Very fast delivery.,The best purchase I ever had made,Product is good and big enough but price and quality can be little bit improved.,I just now received the box! It was exactly the same as in the description! I loved it! I chose this colour because no mosquitos will be attracted with the light color! Awesome product! Worth buying!",https://m.media-amazon.com/images/I/41nfxayjM9L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/PrettyKrafts-Folding-Laundry-Clothes-Organiser/dp/B08W9BK4MD/ref=sr_1_288?qid=1672923606&s=kitchen&sr=1-288,B08W9BK4MD_8589934593,Home&Kitchen
B09X5HD5T1,"Ikea Little Loved Corner PRODUKT Milk-frother, Coffee/Tea Frother, Handheld Milk Wand Mixer Frother, Black","Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",229.0,499.0,54.0,3.5,185,Frothes milk up in 15-20 seconds.|Can be used for both cold and hot drink.|Requires 2 AA batteries.|Easy to use and clean. Easy and convenient to operate.,"AGXLM7AXU7V4W4OQ3VSKDHE5D3JQ,AGLJPQA3EFCU25WU7YUBUQR7EVAA,AHZNIOL2ID4R7NAEE4BOVV3TOTSQ,AEHQFXO3FHGOI47KAVTBR4CKSEGQ,AHXRHYRPN4MICARR3YECLYRGKMFQ,AFSQYEXGBU5QTKBRQV5367KAVECA,AFROPZ2OZBGFDAOSLXX3RSLV6C5Q,AFSSX5G62IXDDJPIFOQ5CEG6R4VQ","bharath,Naveen manikandan,Garima Katarya,Sadum Yeshwanth,Raynold Mathew,Namrata,Siva pidugu,Consumer","R2DHVCKWVHZBDL,RQZRV02WQM827,R2BSNORS4S8Y5O,R29IBNM5TII6SZ,R38ON0Z6Q9J451,R1R37QKX0HRTS,R2YU28MLKMSTYH,R29Q1VTK27KFLC","Good product,Decent product,nice n powerful but delicate,Good product. It’s a bit difficult to insert cells.,Worked well for a month,Extremely useful,Waste product,Value for money","It’s good and easy to use,The product appears cheap but works alright. As you might know from the product description, there are speed settings. Decent product for this price range.,Its very nice n poweful, but needs proper care n cleanup after every use, also u should keep changing batteries when u see the power low. Been using it for years now, however 1piece lasts for about a year if taken proper care.,The compartment to insert cells should have been a little bigger. It might break while trying to squeeze the cells in.,,This a useful product.. very easy to use and clean. Looks very light but is of good quality.  Froths milk efficiently.. a must buy if you like frothy coffee or milk .,Waste product.don’t buy this by its brand name or by its price.very delicate product.,This is certainly a great product. Saves time as getting a froth in a conventional way, you need to be very patient. Nowadays everyone needs something quick. This served my purpose. Bought 2 extra that I am planning to gift. Thank you.",https://m.media-amazon.com/images/I/21OPu5-M3qL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Ikea-PRODUKT-Milk-frother-Frother-Handheld/dp/B09X5HD5T1/ref=sr_1_289_mod_primary_new?qid=1672923606&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-289,B09X5HD5T1_8589934594,Home&Kitchen
B08H6B3G96,"Philips EasySpeed Plus Steam Iron GC2147/30-2400W, Quick Heat up with up to 30 g/min steam, 150g steam Boost, Scratch Resistant Ceramic Soleplate, Vertical steam, Drip-Stop","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",3349.0,3995.0,16.0,4.3,"1,954","Triple Precision Tip and 360 degree swivel cord make ironing strokes comfortable, effortless and quick|Even distribution of steam for quick ironing in less number of strokes, powerful steam kills bacteria and removes odour|Includes: Steam Iron, User Manual, Warranty; Power: 2400 watts|Drip-Stop feature to prevent leakage even at low temperatures|Material Type: Plastic; Size Name: Medium; Color Name: Purple","AENFDXWEAU44PPUHUUVPYH77NQOA,AHESNAO7PLB2VBKKKSFAHWBEA4CA,AE4HN6JZ6ZJYA2ACUAOQIUXSP5FA,AG4ALUK7YMBO2CIH3UPELENCTIYQ,AEIONG3VGVATP3YQSMWU4PZBE3UQ,AGOAPHGD2KXRK3K6SX7ZP3BFF2DA,AH2EUYDH6AHKHEJJLXBYOEWMVDUQ,AGY6ULRZMVHPJJPB2HEISF6GHD4Q","Khush,Vivek Chengappa Kodira,Chenna Rao,NAZIA AHMED,Sankar N,Cma,SANJAY M.,Sandeep Yadav","RYDPEWV9WC0PU,R3L51B7RDHW16V,R100Y29EI0KGW9,R31K3QIMP4B1CU,RR7DW11JUGVUX,R2CUG4B7G56O7U,R2XR0OPWFJK2OG,R1SOHNFLA9IKXL","Go for it,Good steam iron,Plage big size,Good Product and worth Buying,Nice,Easy to use,Good,Going good so far","Writing this review after a month of use.Works absolutely fine, i use it for my tailoring projects. I had a question regarding water dripping bt the company was prompt to send salesman and resolve my queries. Also a tip that I have heard from alot of technician and sounds logical to increase the life of ur machine is to use filter was. Tap water has alot of impurities and gets stuck and reduces the life of iron. I have seen that myself with my other steam iron as it leaves small dust particles on the waterstorage area. So do that will solve leaking issues if u ought to have any,Wanted a heavy steam iron. This works very well. Lots of steam and easily irons out clothes. Very easy on fabrics too so you are able to use the high steam setting to remove out wrinkles on clothes without worrying about the fabric setting too much..,,Easy to Use and All types of Clothes,Nice it's did it's purpose nicely. Happy,,Cup to pour water must have been included,Heat up very quickly, no water dripping, steam is good and don’t stick. I use filter water to keep it clean",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/4145oJH-y0L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/EasySpeed-GC2147-30-Resistant-Soleplate/dp/B08H6B3G96/ref=sr_1_290?qid=1672923606&s=kitchen&sr=1-290,B08H6B3G96_8589934595,Home&Kitchen
B09N3BFP4M,"Bajaj New Shakti Neo Plus 15 Litre 4 Star Rated Storage Water Heater (Geyser) with Multiple Safety System, White","Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters",5499.0,11500.0,52.0,3.9,959,"Suitable for 8 bar pressure withstanding capacity for high rise building|Titanium Armour Technology for longer life of tank|Swirl Flow technolgy for 20% more hot water output|4 Star BEE rating, Pre coated Metal outer body for rust resistance|Unique Weld free joint for rust resistance","AGZRM2RWS4THP5KLEQGH6NRPQTDA,AGP6HZ22S4GEDJXBDIPCABFZKPZQ,AGJWCWD4TCORDXCAWBAEDB5U7RAQ,AFNSWAGDMRM6X72NFEMXXYC7LJQA,AETK27O6JGFTV6NL5CEBS2ZFWP6A,AE5MYFZ4IHAZY7EEV6IIXV7RPLTQ,AGIWVZOMLAEWR65TNHRDLWKLL4OA,AGBI6JFU3QTM476FG362LU6SH3IA","Lokesh Shukla,Srini D,Hari Prasad Reddy,Gajendra,Balbir Singh,Arnab Samanta,Dulam Harish goud,Priy Ranjan","R23G8LLBD9D4H3,R2SU25E3ZH4JEH,RCOH95A6KJB8J,RR11J9T0OGAT7,R3HMJ84LRX3RFE,R1PA4J2DPWMUX4,R1ULQ43S9KU1K1,R2T4O0DRQL3QIP","Ok,A good water heater,Easy to use inverter,Good product,Screw missing,Nice,Gd product from amazon,Good purchase but costly installation","Ok,The product works very well. The support is also good. The product was not delivered with the required water inlet and outlet connecting pipe and 15A 3 Pin electric plug. Had to run around for procuring them. Wish Bajaj packaged this in the product.,I bought this three months back till now no complaints and using with out any issues.,It's taking time to get hot water,The screw required for installation is missing,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81YXC87RPYL._SY88.jpg,,Product is good but installation charges are high",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31U-ACCgQ1L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Bajaj-New-Shakti-Neo-Storage/dp/B09N3BFP4M/ref=sr_1_291?qid=1672923606&s=kitchen&sr=1-291,B09N3BFP4M_8589934596,Home&Kitchen
B09DSQXCM8,"House of Quirk Reusable Sticky Picker Cleaner Easy-Tear Sheets Travel Pet Hair Lint Rollers Brush (10cm Sheet, Set of 3 Rolls, 180 Sheets, 60 Sheets Each roll Lint Roller Remover, Multicolour)","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",299.0,499.0,40.0,3.9,"1,015","Quickly removes lint, dust, dandruff and pet hair from virtually anywhere.|Use on pants, coats, sweaters, dresses, suits, formal wear and more.|Balanced adhesive for effective lint removal without risk of damaging surfaces.|Mini lint roller perfect for travel and common everyday use small enough to fit in a purse or pocket for use on the go with minimal space taken and maximum convenience;|Cleans in seconds, reusable to be sticky all over again, efficient for lint, dust and hair, multi-functional, to keep clothes clean.","AHEE4KV3RGGHWUXGCNXJ4DMKM53A,AGEUYT4DWSJF64CD5VCFHPX2VMGQ,AEBHZXZIBEHNBKLIAYNXWBMDX2ZA,AEFDNKBBMU2WUSR5PXNGKH3RVGZQ,AG5M6CPA43SQPDBTR6UHVIPTRFIQ,AHREJM66P5NGBJ3674WM56ZTHF2A,AE2CMOCWNJRTN53KESNTBUNXV37A,AEDNFIJI2HDWTA4SZPMOVNEHPKOA","ANILKUMAR,Sudeep Jain,siri srujana,Dipankar Paul,Anshula @thebookishlawyer,Amrit Kaur,Mini,shaila","R2XK30UZ0P7UXJ,R3NQKJO364XETX,R1CYYHWHYX2NX1,R3KATRBZJYOAFW,R1GZC1U1UELK8E,RNQ8FWEZB09XX,RYW158D6ZC85D,RHI3BSTRUG006","Good to use,Really good in this price,Lint roller,Adhesive could have been better,I like this,Low effectiveness,Good for those who have pets!,Useful product","Good to use,Really good product in this price as compared to other expensive products. Does it's job properly. Roller doesn't come out if you scroll it properly. Adhesive is good in removing febric lints. Doesn't come with a cover but you can keep the used sheet wrapped till next use. Then you can remove it to get fresh sheet.,Easy and handy.,Works, but adhesive could have been better.,It's exactly as the pictures of the product. The roller works well and does the job. Go for it if you need one. I have pets at Home (cats) and I need to use this everyday.Will definitely re-purchase !!,The roller and the frame is loosely tied and cuts hand every time I use. The whole roller disassembles quickly while in use. The adhesion is not very good and finishes when rolled 2-3 times.,I ordered this because my pet’s hairs always stick on my clothes. This product removes those hairs easily. But in one jeans or shirt, you need at least two sheets and also the roller comes down which make cuts on fingers. So for cleaning, really good but not at all easy to use.,Easy-to-use. Can go for it",https://m.media-amazon.com/images/I/31t6ATbG1jL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/House-Quirk-Reusable-Easy-Tear-Multicolour/dp/B09DSQXCM8/ref=sr_1_292?qid=1672923606&s=kitchen&sr=1-292,B09DSQXCM8_8589934597,Home&Kitchen
B01M69WCZ6,"Allin Exporters J66 Ultrasonic Humidifier Cool Mist Air Purifier for Dryness, Cold & Cough Large Capacity for Room, Baby, Plants, Bedroom (2.4 L) (1 Year Warranty)","Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",2249.0,3550.0,37.0,4.0,"3,973","Improve air condition: this cool mist ultrasonic humidifier could prevent dry or chapped skin, stuffy air, flu germs in dry conditions. Humidify the air, breathe easier, and relieve cough and sinus congestion due to colds, allergies, and flu|Essential oil and any other oils are not recommended to use in humidifier as these are made of abs grade plastic to ensure hygienic mist generation that may react with essential oils (like Citrus oils) to diffuse harmful and reactive mist. If you're looking to have humidification and aroma diffuser in one unit, try our range of 2-in-1 ultrasonic diffusers and humidifiers that are made without bpa plastic and are safe to use essential oils and other aroma and maintaining humidity in the interiors|Germproof water tank: covered with antimicrobial coating, the water tank of this humidifier will prevent the growth of mold and mildew and provides clean cool mist Adjustable mist spray and auto shut-off: the mist output can be adjusted at random while the highest mist capacity is 380ml/h. It will be shut off automatically when out of water or at low water level for protection|Long working hour: extra-large 2.4L tank capacity allows 12 hours working time under highest mist mode (up to 24 hours at minimum output setting) after refilling|1 Year Offsite Warranty against manufacturing defects. Visit our service center or send the product via courier. One-way courier charge will be borne by the Customer.","AEJS5FT3PUYMZ27UQBFICD2YXDQA,AFFHWVYKVSRM37YO4YB3Z6IMFLYA,AGJKOP63VWH3PLV46FL33T3AAMZA,AFIXS23I6JWYAYRYKIQN6XQ5DNCA,AFT5MTRDID47T6IFK3WZKMHPL3GQ,AGOFMGGVERIDKNPHMFBODPTPJ5YQ,AE5RKE23GK5T7VQBYKSUCUIHPMIQ,AHH4RVJIROHTEVGRWPYUX2SUHUBQ","Anshuk Pani,Sujit,Neeraj,M Sajan,Gabs,Kishore Bandi,Molly Papachan,Shrinidhi","R3JY7DEIB727Q4,RERB22NNP18BZ,RE6LIDZ65EW5G,R1YO7O7DO2O5U6,R1A6I4INOCGWBG,R1ARO6W0N7HC7F,R1VGL0ZOWEIDPZ,R22OSYPO6IBZ8O","So far so good,Good product.,good quality product and create ultra fine mist.,Can be a Great Product,Super,Works as described though difficult to refill water,good one,Amazing","Apart from it leaving a watermark on table, it's been a good experience.,Good product but one issue i found that the head from where cool mist air comes should be flexible to rotate to any direction. Now suppose you are keeping in table and sitting on chair then all cool mist will go above instead of coming to you.,my sleep quality improved by this product and it gives the feeling of freshness.,Operating Manual inadequately written. The 2nd diagram is not labeled, water filling method not mentioned.Most importantly the cord length is too small, why being so thrifty. Most switch boards are at about 5 ft height. Cord does not support this height. As said can be a great product.,Nice product,The quality of the product is normal.  Very thin plastic. Refilling water is a tricky job as we have to fill it up side down. The instructions are not clear. If the product is tilted a little it behaves differently.  The LED lights are delicate and I think loose as well,its an awesome product ...humidifier helped my baby to sleep better due to nasal congestion ... so relieved as a mother,",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/21Kb8kWuKTL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Allin-Exporters-Ultrasonic-Humidifier-Purifier/dp/B01M69WCZ6/ref=sr_1_293?qid=1672923606&s=kitchen&sr=1-293,B01M69WCZ6_8589934598,Home&Kitchen
B0BM9H2NY9,Multifunctional 2 in 1 Electric Egg Boiling Steamer Egg Frying Pan Egg Boiler Electric Automatic Off with Egg Boiler Machine Non-Stick Electric Egg Frying Pan-Tiger Woods (Multy),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,699.0,1599.0,56.0,4.7,"2,300",Egg Frying Pan,"AFZ2YKWX4KR7MWSA6UOMEGGHT32A,AEP6WZ7AR6XDQSBFSQRILJOUWYIA,AHOOA3EKEVKQGQAVQE762YGB5KPQ,AH2CHLPBROIU447VRDW6K6DE5TWA,AH4H7RTFFSOM4T7YUCTXGIKLZEWA,AHPGXSE3AFIV5HHD4Q4C4EY3X2KQ,AEQEH72IPVWNOQYVPL3FMKPMSRBA,AEJALL3TNEOIEEC5G3VCPKZVCEBQ","Nitin G.,Veerasomachary,Roshan,Kunwar Indranshu Singh,suresh,Prerna,Arjun Kr. Sah,Jagadeesan","R2DHTJGY77MOP0,R36IXNHZC037AW,R3GPHUMRV75VWK,R2DO6A5Z7D5XSI,R15XQF7WAO4JPS,R2I9R8AJ9WCXXC,R1Q6IO5RWUTRT8,RF5Y8BO9PDVBD","Amazing! Value for money!,Very easy to use,2 in 1,Good product,Easy to clean,Good product to buy and use,Easy to operate that is simple process,Worth","Worth buying for eggetarians,Working great so far!Value for money!4 stars as wire is very short in length!,I like this product and it is worth for money,Very good item,Value for money,Easy to use,Easy to use and easy to handle,It is awsome product,Good qualility,Good product. It's very nice",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51IE+nI0KGL._SY300_SX300_.jpg,https://www.amazon.in/Multifunctional-Electric-Automatic-Non-Stick-Pan-Tiger/dp/B0BM9H2NY9/ref=sr_1_294?qid=1672923606&s=kitchen&sr=1-294,B0BM9H2NY9_8589934599,Home&Kitchen
B099FDW2ZF,"Maharaja Whiteline Nano Carbon Neo, 500 Watts Room Heater (Black, White), Standard (5200100986)","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",1235.0,1499.0,18.0,4.1,203,"500 Watt Performance|Superior Carbon Rod Technology ensuring more heating efficiency than conventional Room Heaters|One Rods|Healthy heating due to carbon technology|Low Glare: No discomfort to eyes, creates ambience of warmth and care|Tip over safety switch: Heater turns off automatically if it accidentally falls down or kept on uneven surface|Shock Proof Body","AEKB7MS4WMERS6DHWXCANJ5TPTRA,AGQYWUEUFKLJUS25GTEV25GOXZUQ,AECXYBWM74VM7PE44MKGWPPLUPMA,AHP67WDPXUM5SNLJEWOQWUM2LWLA,AHASFHQCZH73IANLGF6IXB2B3O7Q,AFZOF5V4W33EHJ3VL42U3O52ZIWQ,AGFCF6HSB2SOWHPEQDVQPWF2OSOQ,AF6HB6GYUYNZ4G4FDTQIGQK76WSQ","AV,Amazon Customer,Navneet raj,Vijay Pratap,Farid Kapasi,Vishwa Vijay,YOGENDRA KUMAR,A.M.","R380FB13JOT72K,R2RNY0K3PT2PAU,R2KEZ6LFKH1BOT,RJ1FQK256DKD5,R3TXMZ9OL1L7MI,RI4DLEXTUDQ8,R2SR5699KY8T7X,RY24YLHPCI7XM","A good heater for tiny spaces,Good purchase,Best room heater in budget especially power saving,Handle to carry & a bit high stand would have been better additions to the product.,Nice little room heater.,Metal body with carbon heating element,Needs some care to handle when carry and use,good","The product arrived on time and in good condition.It is not only portable but also convenient as it uses a standard plug that can be plugged into normal 5Amp sockets.I mostly just use it to heat my bathrooms as its a low wattage heater and thus can only work well in tiny spaces.IMPORTANT! If using in bathroom, ensure there is NO water on the floor or spraying on/around it. Just heat the bathroom and then move away the heater before using the bath area!!!!,It's a light weight easy to use product.Perfect for small space.Heats quickly.,Best room heater in budget, especially it uses less power nd gives sufficient heating, even can be used with inverter in places where power cut is a problematic issue.,Not so easy to use or regular movement.,I liked this room heater. It only uses 500 watts and so can be plugged into any 5 amps. It's quite as there is no fan. Adequate for a small room.,It looks good and the feel is metalic. There is line indicator in its back and also there is a switch on its side. Heating feels powerful and there is no breathing issue due to this heater.,It was Very useful in my Himachal tour in January. I have used it whole night in -5 °C, with few care ie ventilation in room and few waters in room.,good",https://m.media-amazon.com/images/I/41XrOa1+-PL._SY300_SX300_.jpg,https://www.amazon.in/Maharaja-Whiteline-Carbon-Standard-5200100986/dp/B099FDW2ZF/ref=sr_1_292?qid=1672923607&s=kitchen&sr=1-292,B099FDW2ZF_8589934600,Home&Kitchen
B0B935YNR7,"KENT Electric Chopper-B for Kitchen 250 Watt | Chop, Mince, Puree, Whisk, 400 ml Capacity | Stainless Steel Double Chopping Blades | Transparent Chopping Bowl | Anti-Skid | One Touch Operation | Black",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,1349.0,2999.0,55.0,3.8,441,"KENT Electric Chopper Black is a smart and efficient kitchen appliance designed to eliminate your chopping/ cooking stress|250W high-performance function ensures perfect results every time|It features sharp and high-quality stainless steel double blades for quick operation|Includes 400ml transparent bowl, plastic whisking attachment, and long power cords for maximum convenience|The bowl has anti-skid ring at the bottom to ensure stable operation|It chops veggies into fine, coarse, or medium texture and whisks cream in seconds|Operates with single press button to ensure maximum ease|KENT Electric Chopper Black 1-year warranty on the product for your peace of mind","AEUXMKJNJJBXOKFC3FADQRG2OIMQ,AH4XLMFRDKQPGZUWFZPCO5CLNVWQ,AEFCRF3XKSLRNEZ35P6P4SCLGIPA,AGAQWV5XLA3XNG4ZUSPCAKWDKK7A,AHFQD5KRJY7BD46B7QVH6J632T7Q,AFVYO2JECMG7CWP5JCMNWSIU5B3Q,AHVBDKH2WQYS37WL25RFWGDSLLDQ,AE5FLXF7GOUMGRXJNSX6UBK4SVNA","Amazon Customer,Anurag Singh,SS BATRA,SWATI B.,Anil,M S P,Reena Rawat,Subhendu D.","R131UUX5RGGPM6,R1QT715X5TOYH0,R3GOHZPUGY57VL,R2X5IYZIUB4MVE,R964KPPOLNHFJ,R2X77NBYOU06B5,RDRCHM3EVHLZP,R1QKKV15C79IXH","Helpful for my mother,Do Not Buy this product,Very cute solid and comfortable 👌,Very efficient,Not operational product dispatched Also u cant cancel the order, received replacement working ok,Bottom bowl is low quality plastic & not as per in the picture,Overall good product,Good material product.","Nice machine for adults at home .. who need small appliance which can do work in jiffy.,,Easy to use,Double blade option works fantastic... Body is sturdy... Chops stuff super fast and super fine...,Very poor qualityNew product refuse to operate,The bottom bowl was not so good enough,Heavy in weight,Good product.",https://m.media-amazon.com/images/I/41VM+D8AGWL._SY300_SX300_.jpg,https://www.amazon.in/KENT-Chopper-B-Stainless-Transparent-Anti-Skid/dp/B0B935YNR7/ref=sr_1_293?qid=1672923607&s=kitchen&sr=1-293,B0B935YNR7_8589934601,Home&Kitchen
